VM7台稼働
1台の中でメモリ確保のプログラム回した

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 3364264 108204    240   9352 2328 5337  2328  5341 1029 2358  8  2 66 24  0
 1  0 3346104 105696    240   9064 7397  932  7397   932 3585 4135 18  2 66 13  0
 0  2 3421728 129264    240   9284 1732 26313  1732 26323 7932 2425  9  3 54 34  0
 0  1 3445536 117868    240   9524 3333 10961  3333 10963 1813 2896 13  2 66 18  0
 1  0 3469612 111504    252   9324 2193 9987  2195  9996 5334 1679 20  2 68  9  0
 1  0 3524588 115296    252   9416  291 18725   291 18725 4931  928 17  2 72  9  0
 1  3 3645976 124520    252   9180  128 40531   128 40531 13017 1122 21  4 63 12  0
 0  1 3659316 121556    252   9332 1987 5819  1987  5819 1810 2322  8  2 52 39  0
 1  1 3652784 115684    252   9272 4552    0  4552    15 1583 3368  4  2 55 39  0
 0  1 3629532 113800    260   9280 8172   19  8172    35 1879 4176 16  2 69 13  0
 0  1 3619296 115484    260   9492 5548  711  5548   711 2027 2973  6  2 73 19  0
 1  0 3604036 110140    268   9456 10368 4355 10368  4359 2226 4917 10  3 71 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2 3678696 127928    268   9368 2105 26292  2105 26292  870 1755  9  2 47 42  0
 0  7 3674140 120460   1152   9932 2708    0  3217     8 1158 3028  2  1 33 64  0
 0  3 3669448 113188   1928  16796 2047    0  4565     1 1006 2637  2  1 38 58  0
 0 11 3666000 112684   2936  20040 1875    0  3300    48 1217 3002  2  2 27 70  0
 3  7 3662244 112540   3440  23288 2205    0  3429     5 1367 3323  2  2 22 75  0
 0  3 3656492 111536   3752  24892 2492    0  3197   100 1331 3646  2  2 34 62  0
 1  2 3649032 116176   4108  26360 4113  953  4613   953 3216 3830  6  3 50 42  0
 0  1 3630248 112548   4096  26100 8539 1320  8539  1351 3691 5131  8  3 63 26  0
 0  3 3729940 125876   3388  24976 2892 36023  2929 36023 3265 3045  4  4 41 51  0
 1  0 3718160 115156   3640  26512 4523    0  4979   125 1180 3262  4  2 48 47  0
 0  1 3701340 116428   3320  23144 7092  305  7117   324 1611 4568  7  2 64 27  0
 0  0 3704268 116256   3172  24068 2333 2041  2792  2056  725 2036  2  1 73 24  0
 0  0 3704236 116008   3172  24160   11    0    11    39  264  679  0  0 99  0  0
 0  1 3704052 115760   3172  24168  201    0   228    11  259  676  0  0 98  2  0
