ﾟД ﾟﾊｧ? % vmstat 3                                                                        [ ~]
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  42336 126476   4548 312760    0   87  7059    88 1272 6273 13 13 73  1  0
 0  4 187572  93608   3228 171472    0 48412  2039 48624 4045 3066 12  6 61 21  0
 1  3 331684  84232   3000 170352    0 48037    12 48087 1384 1854  5  3 33 59  0
 0  2 415452 123108   2596 155892   59 27924    81 27936  555 1162  0  2 51 47  0
 4 59 415900 117008   2140 152252   55  165 15695   165 1364 5226  5  3 65 27  0
 0 60 420368 115384    592 131104    0 1489 33435  1489 1121 2194  1  2  8 89  0
 1 62 532104  83728    508 166504    0 37244 22804 37256  850 1820  1  2 15 82  0
 0 62 638684  99768    508 176692    0 35529  7369 35539 1392 1646  1  2  9 88  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 643448 129436    516 168984    0 1588   875  1592  434 1198  0  1 43 56  0
 0  0 643448 102756    344 166988    0    0  5647     3 8182 5436 33  3 49 15  0
 0  2 643444 102732    352 167148    0    0    63     9  302  923  1  1 97  2  0
 0  0 643440 103748    872 167856   11    0   300   104  336  786  0  1 93  6  0
 0  0 643432 104960    880 167884   32    0    32    23  303  786  0  1 99  1  0
 0  0 643428 106988    880 167888  116    0   116     0  335  997  0  1 97  3  0
 0  0 643428 108844    888 167896    0    0     0     8  327  836  0  0 99  0  0
 0  0 643420 110304    888 167900   11    0    11     0  281  722  0  0 99  0  0
 0  0 643420 110460    888 167900    0    0     0     0  283  703  0  0 99  0  0
 0  0 643416 114572    888 167900    0    0     0     0  355  879  0  1 99  0  0
 0  0 643416 114496    888 167940    0    0    13     3  286  736  0  0 99  0  0
 0  0 643416 114088    888 168120    0    0    21    69  290  735  0  0 99  0  0
 0  0 643416 115844    896 168340    0    0     1     4  310  787  0  1 99  0  0
 0  0 643416 116976    896 168400    0    0     0    16  259  672  0  0 99  0  0
 0  0 643412 117372    904 168400    0    0     0   125  269  701  0  0 98  1  0
 0  0 643404 117688    904 168444    0    0     0     0  258  639  0  1 99  0  0
 1  0 643400 118208    912 168440    0    0     0     4  285  698  0  0 99  0  0
 0  0 643396 120424    912 168440    0    0     0     0  279  657  0  0 99  0  0
 0  0 643388 120904    912 168444    0    0     0     0  264  669  0  0 99  0  0
 0  0 643384 121068    912 168440    0    0     0     0  287  695  0  0 99  0  0
 0  0 643376 121068    912 168444    0    0     0     0  254  644  0  0 100  0  0
 0  0 643368 120936    912 168460    0    0     0     5  316  792  0  0 99  0  0
 1  0 643368 111720   1096 172836   52    0  1565    13  439 1016  2  1 89  9  0
 0  1 643356 117196   1220 170188  148    1  3407    33  554 1718  1  1 72 25  0
 0  0 643336 119800   1360 171644  107    0   703    27  422  942  2  1 92  5  0
 0  0 643332 119804   1360 171728   11    0    11     0  244  623  0  0 99  0  0
 0  0 643332 119828   1360 171728    0    0     0     0  248  598  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 643316 119704   1360 171728   11    0    11     0  290  737  0  0 99  0  0
 0  0 643312 119580   1360 171728    0    0     0     0  281  678  0  0 99  0  0
 0  0 643312 119564   1360 171728    0    0     0     0  317  805  0  0 99  0  0
 0  0 643312 119564   1360 171728    0    0     0     0  251  643  0  0 99  0  0
